TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Cabecera;FC;A;1114-08074623;11/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;6;OFERTA TRANSFER ;;;;22258.06;0;166.94;22425;3;1;;;;;
Detalle;FC;A;1114-08074623;;;;;;;;;7795347957409;TACRODERM 0.03% UNGUE.DERM. X10G;34703.43;22258.06;0;166.94;22425;3;;Eticos;LAZAR;Producto Exento;0;7419.35333
Cabecera;FC;A;1114-08074664;11/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;6;OFERTA TRANSFER ;;;;77970.12;0;584.78;78554.9;3;1;;;;;
Detalle;FC;A;1114-08074664;;;;;;;;;7796285284411;ZATIUM 50MG COMPR. X30;121566.3;77970.12;0;584.78;78554.9;3;;Eticos;DISPROFARMA CC (ELEA);Producto Exento;0;25990.04
Cabecera;FC;A;1114-08074798;11/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;6;OFERTA TRANSFER ;;;;510880.68;107284.94;19158.02;637323.64;120;2;;;;;
Detalle;FC;A;1114-08074798;;;;;;;;;7793742007446;DERMAGLOS FACIAL X200ML AGUA MICELAR 6 EN 1 REFILL;790045.88;366131.15;76887.54;13729.91;456748.6;86;;O. T. C.;ROFINA SACIF (ANDROMACO);Producto Gravado;21;4257.33895
Detalle;FC;A;1114-08074798;;;;;;;;;7793742007446;DERMAGLOS FACIAL X200ML AGUA MICELAR 6 EN 1 REFILL;312343.72;144749.53;30397.4;5428.11;180575.04;34;;O. T. C.;ROFINA SACIF (ANDROMACO);Producto Gravado;21;4257.33912
Cabecera;FC;A;1114-08074827;11/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;6;OFERTA TRANSFER ;;;;306528.4;64370.96;11494.81;382394.17;72;1;;;;;
Detalle;FC;A;1114-08074827;;;;;;;;;7793742007446;DERMAGLOS FACIAL X200ML AGUA MICELAR 6 EN 1 REFILL;661433.76;306528.4;64370.96;11494.81;382394.17;72;;O. T. C.;ROFINA SACIF (ANDROMACO);Producto Gravado;21;4257.33889
Cabecera;FC;A;1114-08074914;11/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;6;OFERTA TRANSFER ;;;;39323.96;0;294.93;39618.89;6;1;;;;;
Detalle;FC;A;1114-08074914;;;;;;;;;7796285047320;LISOVYR UNGUE. X10G;67081.98;39323.96;0;294.93;39618.89;6;;Eticos;DISPROFARMA CC (ELEA);Producto Exento;0;6553.99333
Cabecera;FC;A;1114-08074918;11/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;6;OFERTA TRANSFER ;;;;151783.82;0;1138.37;152922.19;30;2;;;;;
Detalle;FC;A;1114-08074918;;;;;;;;;7796285277604;LISOVYR CORT CREMA X5G;111345;65271.16;0;489.53;65760.69;10;;Eticos;DISPROFARMA CC (ELEA);Producto Exento;0;6527.116
Detalle;FC;A;1114-08074918;;;;;;;;;7796285053536;LISOVYR CREMA X5G;147580.4;86512.66;0;648.84;87161.5;20;;Eticos;DISPROFARMA CC (ELEA);Producto Exento;0;4325.633
